County,IncomePerCapita,MedianAge,PercentFemale,PercentNonWhite,PercentDiabetic,PercentUninsured,PopulationDensity,DeathsPerCapita
Alachua,46690.0,32.1,51.8,30.1,9.3,11.6,307.47068638431125,0.0003382358953773189
Baker,33254.0,37.2,47.4,17.3,14.5,11.5,49.912000410095175,0.0009928106812735365
Bay,45690.0,41.8,50.4,17.8,12,15.0,230.34174511510165,0.0008299705217366418
Bradford,34179.0,39.8,44.4,23.9,12.6,13.5,95.93482106409036,0.0005673557675259743
Brevard,47911.0,47.7,51.1,16.8,13.1,13.4,592.6609298387256,0.0006910964843788936
Broward,52308.0,40.8,51.3,36.9,9.1,16.8,1614.1462567883682,0.0008234422960520858
Calhoun,29526.0,42.0,46.0,17.3,16.7,14.9,24.86207322017168,0.001488833746898263
Charlotte,42793.0,60.1,51.3,9.4,12.8,15.9,277.6944787440466,0.0009316605791117464
Citrus,39055.0,57.1,51.5,7.1,13.3,15.3,257.2752277806429,0.001002291907495139
Clay,44042.0,40.0,50.7,19.7,12,12.4,362.7837712621616,0.0006339736923722474
Collier,99382.0,52.1,50.7,10.7,9.1,22.6,192.61279474758797,0.0006962811313009546
Columbia,35583.0,40.5,48.2,22.3,15,13.2,89.88051205536817,0.001213626091565996
DeSoto,0.0,0.0,0.0,0.0,0,24.6,0.0,0.0
Dixie,28314.0,46.2,44.9,12.7,14.6,15.9,23.86497411531097,0.0006537501485795792
Duval,47475.0,36.6,51.5,39.4,13,14.2,1256.5830042377884,0.000587833005309291
Escambia,44349.0,37.5,50.6,31.1,13,12.9,484.89778508972364,0.0009110443710024001
Flagler,47558.0,52.6,51.9,16.1,12.6,15.2,237.05557615457505,0.0003562708005665575
Franklin,37320.0,46.3,43.1,16.7,11.6,17.1,22.674994857217662,0.00032989690721649484
Gadsden,35885.0,41.8,52.5,58.1,20.5,15.4,88.43181686130963,0.0012264564169951818
Gilchrist,34756.0,42.5,48.4,8.8,15.1,16.1,53.14001372683596,0.0010224948875255625
Glades,26102.0,47.7,44.2,21.2,21,25.9,17.135023138670736,0.0005792484251683441
Gulf,46346.0,49.8,49.5,14.9,13.2,12.7,24.182195351146255,0.0013197448493291297
Hamilton,27643.0,40.2,42.1,37.2,14.9,14.9,28.081511901749746,0.0007624064319378985
Hardee,29545.0,36.1,47.2,11.7,16.4,19.0,42.235567123459504,0.0006682258603407952
Hendry,33204.0,35.1,47.0,16.7,12.9,27.2,36.45369767946215,0.0010708676407596021
Hernando,38223.0,48.7,51.8,10.4,15.2,15.7,410.3779574215939,0.0009643151815181518
Highlands,34480.0,54.4,51.2,14.6,15.5,19.4,104.48446813952116,0.0012521064572918726
Hillsborough,48452.0,37.6,51.1,25.9,10.6,14.7,1442.808833475461,0.000595800995673819
Holmes,31822.0,42.5,46.9,11.1,14.5,17.4,40.972889427294376,0.0007136667176428608
Indian River,80818.0,54.6,52.0,13.3,10.9,18.2,318.0205619742677,0.0007941321761097528
