OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,NewPos,NewNeg,NewTested,NewPercPos,MedianAge,SHAPE_Length,SHAPE_Area
1,1,21,41,GILCHRIST,Gilchrist,FL,1668,44,111,248,236,227,227,217,157,117,84,0,0 to 118,43,894,765,9,1668,0,0,116,823,2,882,24,794,870,1,3,1664,708,86,0,0,383,406,5,794,13,48,128,139,114,109,93,54,48,48,0,0 to 106,40,605,62,38,89,91,607,96,90,0,48,0,0,20,794,406,383,794,0,0,5053,0,5858,5053,794,20,1000,983,{CB6285A2-DA2E-4583-AAD5-1221776836AE},12,75,87,0.137931034,40,1.429266672,0.085830646
2,2,54,107,PUTNAM,Putnam,FL,6679,198,616,876,909,854,920,993,696,404,205,8,0 to 118,43,3841,2795,43,6664,15,0,1041,3168,133,3510,69,2855,3797,0,27,6637,1642,1206,3,4,1506,1332,10,2848,69,283,458,399,414,380,384,273,132,62,1,0 to 100,40,1788,716,278,66,522,2237,89,439,2,296,2,0,60,2855,1337,1508,2848,7,0,19350,8,22226,19358,2855,60,1811,1748,{CE511C5D-2638-44A3-B2F8-B13847543637},41,291,332,0.123493976,40,2.246427874,0.199542021
3,3,62,123,TAYLOR,Taylor,FL,2942,67,182,316,538,521,445,412,280,132,45,4,0 to 118,41,1219,1703,20,2932,10,0,85,1657,3,1612,32,1669,1267,0,6,2926,1571,94,4,0,509,1154,2,1665,10,45,172,362,368,288,222,121,59,22,0,0 to 95,41,917,591,82,75,133,1423,109,152,0,70,0,0,21,1669,1155,512,1665,4,0,6339,6,8039,6345,1669,21,1739,1642,{541BD5A3-4453-499A-9896-F0EDC5353D0B},9,161,170,0.052941176,40,2.584293786,0.251180544
4,4,46,91,OKALOOSA,Okaloosa,FL,18385,396,1469,2568,2832,2639,2352,2511,1662,1127,777,52,0 to 119,41,10336,7934,115,18159,225,1,964,8582,137,6254,438,9431,8860,2,92,18067,8792,542,85,12,4995,4279,60,9334,110,467,1478,1731,1455,1291,1343,818,453,273,12,0 to 103,41,4712,737,1605,2280,828,6277,2229,631,5,431,6,1,160,9431,4328,5043,9333,97,1,45786,127,55413,45913,9431,160,13809,13385,{EB5D2450-A892-40FD-9BA4-9821A7438525},199,655,854,0.233021077,40,3.2142959,0.223073368
5,5,7,13,CALHOUN,Calhoun,FL,1721,39,148,207,236,255,234,223,191,127,61,0,0 to 99,44,861,846,14,1719,2,0,81,566,4,748,19,902,815,0,4,1715,803,97,2,0,399,500,1,900,12,45,98,152,134,132,118,101,70,40,0,0 to 99,46,610,115,85,90,30,732,138,81,1,40,1,0,22,902,501,400,900,2,0,4953,0,5865,4953,902,22,1339,1279,{3B55AA95-5170-4CAF-82A3-E99AD7459349},17,189,206,0.082524272,45,1.881030493,0.139649279
6,6,50,99,PALM BEACH,Palm Beach,FL,135421,2450,5462,16254,19709,18247,19645,20272,15752,10383,5638,1609,0 to 119,47,72578,62341,502,133915,1504,2,15224,89071,465,49451,1670,67106,67754,149,412,133362,65411,911,772,12,34174,31888,260,66322,1037,2949,11193,12301,10421,10153,8625,4963,3182,2228,54,0 to 106,40,29764,9459,11146,15953,17675,31324,17323,6375,83,4541,57,24,1709,67106,32305,34520,66320,784,2,449173,719,517636,449892,67106,1709,26201,25938,{CC4A8DA3-38F1-429A-A0CB-00FFDAA43DA7},663,8153,8816,0.075204174,40,4.371977007,0.517626395
7,7,56,111,ST. LUCIE,St. Lucie,FL,23778,600,1229,2686,3251,3245,3611,3578,2866,1721,961,30,0 to 119,47,13470,10120,188,23607,171,0,2526,11867,188,10122,464,11051,12367,4,356,23248,10839,171,39,2,6024,4974,12,11010,199,493,1482,1788,1735,1754,1533,1102,603,360,2,0 to 104,43,5111,2345,1466,2088,2479,5982,2549,1143,6,898,5,1,370,11051,4993,6045,11010,41,0,73036,129,84273,73165,11051,370,11904,11889,{399B37A3-AA4A-40D4-AA83-5A2BA14BD0C4},88,989,1077,0.081708449,43,2.40436561,0.13681239
8,8,51,101,PASCO,Pasco,FL,32544,655,2195,4252,4199,4437,4936,4733,3876,2315,927,19,0 to 119,46,17979,14399,166,32332,212,0,2584,17570,223,14304,725,15480,16802,4,258,32070,14848,487,143,2,8062,7189,84,15335,226,761,2354,2350,2311,2409,2070,1619,985,390,5,0 to 105,43,11069,953,1984,1329,3262,10396,1677,1722,14,1280,8,2,285,15480,7253,8142,15335,145,0,116877,70,132506,116947,15480,285,17989,17444,{83116673-3FAD-423E-B67E-DFE7515F5E81},225,1962,2187,0.102880658,42,2.211523842,0.181730911
9,9,20,39,GADSDEN,Gadsden,FL,6314,172,417,740,999,1089,1042,885,612,242,113,3,0 to 119,42,3641,2662,11,6289,24,1,718,3249,46,2590,61,3379,2928,1,6,6283,3253,115,11,0,1671,1692,5,3368,86,224,463,553,626,588,442,243,113,40,1,0 to 98,40,1020,1443,637,268,653,2299,416,474,1,257,0,0,57,3379,1694,1680,3367,11,1,16871,16,20314,16887,3379,57,1881,1686,{77657EA6-12D6-4645-9915-E7357C9F40D6},27,334,361,0.074792244,40,2.033391917,0.128633606
10,10,37,73,LEON,Leon,FL,29700,637,1078,9201,4521,3616,3448,3351,2350,950,503,45,0 to 119,33,16075,13521,104,29042,657,1,3591,17630,201,10797,398,15505,14156,5,34,29006,14933,121,444,7,8298,6727,29,15054,242,552,6942,2360,1672,1401,1192,647,296,192,9,0 to 106,25,6296,4260,1948,2550,1416,9523,4115,842,31,337,17,15,147,15505,6914,8558,15053,451,1,107725,212,123617,107937,15505,147,7629,7224,{FF3D6D6C-1645-4C7E-BC93-049A674C4499},137,2496,2633,0.052031903,24,2.428616327,0.170704044
11,11,33,65,JEFFERSON,Jefferson,FL,1534,42,87,145,191,202,240,274,208,108,36,1,0 to 101,49,728,803,3,1514,20,0,57,889,41,817,32,792,739,1,2,1512,660,115,14,3,301,473,1,775,11,33,78,126,103,145,145,83,45,23,0,0 to 99,48,328,380,46,21,38,684,53,73,2,43,0,0,11,792,482,309,775,17,0,4136,1,4943,4137,792,11,646,608,{862C7BAB-C64B-458C-A6FA-56543968D206},4,86,90,0.044444444,48,2.204930935,0.148496656
12,12,40,79,MADISON,Madison,FL,2619,125,286,314,316,334,375,333,291,156,81,8,0 to 101,42,1519,1095,5,2584,35,0,155,1148,53,1633,95,1296,1321,1,1,2582,873,406,15,2,723,555,1,1279,44,103,157,172,178,216,177,132,66,51,0,0 to 101,44,456,719,62,42,63,1106,110,197,1,66,2,2,27,1296,559,736,1279,17,0,5779,18,7104,5797,1296,27,1775,1678,{89851E42-542B-499A-AC7E-D8F5369F3D0B},20,212,232,0.086206897,44,2.169691637,0.17402633
