County,WeekStartDate,Deaths,Age 0-19,Age 20-39,Age 40-59,Age 60-79,Age 80+,Positive UnkAge,dtm_updated
Adams County,2020-07-12,2,0,0,0,1,1,0,2020/11/29 13:08:29
Adams County,2020-07-19,3,0,0,0,1,2,0,2020/11/29 13:08:29
Adams County,2020-08-02,3,0,0,1,1,1,0,2020/11/29 13:08:29
Adams County,2020-08-23,2,0,0,0,1,1,0,2020/11/29 13:08:29
Adams County,2020-09-06,1,0,0,1,0,0,0,2020/11/29 13:08:29
Adams County,2020-09-13,1,0,0,0,0,1,0,2020/11/29 13:08:29
Asotin County,2020-03-15,1,0,0,0,1,0,0,2020/11/29 13:08:29
Asotin County,2020-04-05,1,0,0,0,0,1,0,2020/11/29 13:08:29
Asotin County,2020-09-13,1,0,0,0,0,1,0,2020/11/29 13:08:29
Asotin County,2020-09-20,3,0,0,0,1,2,0,2020/11/29 13:08:29
Asotin County,2020-10-04,1,0,0,0,1,0,0,2020/11/29 13:08:29
Asotin County,2020-10-11,2,0,0,0,0,2,0,2020/11/29 13:08:29
Asotin County,2020-10-18,2,0,0,0,2,0,0,2020/11/29 13:08:29
Asotin County,2020-11-01,1,0,0,0,1,0,0,2020/11/29 13:08:29
Benton County,2020-03-01,3,0,0,0,1,2,0,2020/11/29 13:08:29
Benton County,2020-03-08,4,0,0,0,3,1,0,2020/11/29 13:08:29
Benton County,2020-03-15,8,0,0,0,5,3,0,2020/11/29 13:08:29
Benton County,2020-03-22,17,0,0,0,4,13,0,2020/11/29 13:08:29
Benton County,2020-03-29,9,0,0,1,5,3,0,2020/11/29 13:08:29
Benton County,2020-04-05,3,0,0,0,1,2,0,2020/11/29 13:08:29
Benton County,2020-04-12,2,0,0,0,0,2,0,2020/11/29 13:08:29
Benton County,2020-04-19,15,0,0,0,8,7,0,2020/11/29 13:08:29
Benton County,2020-04-26,7,0,0,0,4,3,0,2020/11/29 13:08:29
Benton County,2020-05-03,2,0,0,0,2,0,0,2020/11/29 13:08:29
Benton County,2020-05-10,2,0,0,1,0,1,0,2020/11/29 13:08:29
Benton County,2020-05-17,4,0,0,0,0,4,0,2020/11/29 13:08:29
Benton County,2020-05-24,2,0,0,0,1,1,0,2020/11/29 13:08:29
Benton County,2020-05-31,3,0,0,0,1,2,0,2020/11/29 13:08:29
Benton County,2020-06-14,12,0,0,1,4,7,0,2020/11/29 13:08:29
Benton County,2020-06-21,7,0,0,2,2,3,0,2020/11/29 13:08:29
Benton County,2020-06-28,8,0,0,1,4,3,0,2020/11/29 13:08:29
Benton County,2020-07-05,5,0,0,1,3,1,0,2020/11/29 13:08:29
Benton County,2020-07-12,8,0,0,1,4,3,0,2020/11/29 13:08:29
Benton County,2020-07-19,3,0,0,1,1,1,0,2020/11/29 13:08:29
Benton County,2020-07-26,2,0,0,0,1,1,0,2020/11/29 13:08:29
Benton County,2020-08-02,1,0,0,1,0,0,0,2020/11/29 13:08:29
Benton County,2020-08-23,1,0,0,0,1,0,0,2020/11/29 13:08:29
Benton County,2020-08-30,3,0,0,0,2,1,0,2020/11/29 13:08:29
Benton County,2020-09-06,1,0,0,0,1,0,0,2020/11/29 13:08:29
Benton County,2020-09-13,1,0,0,0,1,0,0,2020/11/29 13:08:29
Benton County,2020-10-04,1,0,0,0,1,0,0,2020/11/29 13:08:29
Benton County,2020-10-11,1,0,0,0,1,0,0,2020/11/29 13:08:29
Benton County,2020-10-18,3,0,0,0,0,3,0,2020/11/29 13:08:29
Benton County,2020-10-25,3,0,0,0,2,1,0,2020/11/29 13:08:29
Chelan County,2020-03-08,1,0,0,0,0,1,0,2020/11/29 13:08:29
Chelan County,2020-03-15,2,0,0,0,0,2,0,2020/11/29 13:08:29
Chelan County,2020-03-22,1,0,0,0,0,1,0,2020/11/29 13:08:29
Chelan County,2020-03-29,1,0,0,0,0,1,0,2020/11/29 13:08:29
Chelan County,2020-04-26,1,0,0,1,0,0,0,2020/11/29 13:08:29
Chelan County,2020-06-28,1,0,0,0,1,0,0,2020/11/29 13:08:29
Chelan County,2020-07-05,2,0,0,0,1,1,0,2020/11/29 13:08:29
Chelan County,2020-07-12,1,0,0,0,0,1,0,2020/11/29 13:08:29
Chelan County,2020-07-19,2,0,0,0,1,1,0,2020/11/29 13:08:29
Chelan County,2020-07-26,1,0,0,1,0,0,0,2020/11/29 13:08:29
Chelan County,2020-08-09,3,0,0,0,2,1,0,2020/11/29 13:08:29
Chelan County,2020-08-16,1,0,0,1,0,0,0,2020/11/29 13:08:29
Chelan County,2020-08-23,1,0,0,0,1,0,0,2020/11/29 13:08:29
Chelan County,2020-10-25,1,0,0,0,1,0,0,2020/11/29 13:08:29
Chelan County,2020-11-01,1,0,0,0,1,0,0,2020/11/29 13:08:29
Chelan County,2020-11-08,2,0,0,1,0,1,0,2020/11/29 13:08:29
Clallam County,2020-07-19,1,0,0,0,0,1,0,2020/11/29 13:08:29
Clallam County,2020-11-01,2,0,0,0,0,2,0,2020/11/29 13:08:29
Clark County,2020-02-23,2,0,0,0,1,1,0,2020/11/29 13:08:29
Clark County,2020-03-01,2,0,0,0,0,2,0,2020/11/29 13:08:29
Clark County,2020-03-08,1,0,0,0,1,0,0,2020/11/29 13:08:29
Clark County,2020-03-15,2,0,0,0,0,2,0,2020/11/29 13:08:29
Clark County,2020-03-22,6,0,0,1,4,1,0,2020/11/29 13:08:29
Clark County,2020-03-29,1,0,0,0,0,1,0,2020/11/29 13:08:29
Clark County,2020-04-05,4,0,0,0,1,3,0,2020/11/29 13:08:29
Clark County,2020-04-12,6,0,0,0,1,5,0,2020/11/29 13:08:29
Clark County,2020-04-19,4,0,0,0,0,4,0,2020/11/29 13:08:29
Clark County,2020-04-26,1,0,0,0,0,1,0,2020/11/29 13:08:29
Clark County,2020-05-17,1,0,1,0,0,0,0,2020/11/29 13:08:29
Clark County,2020-05-24,1,0,0,0,0,1,0,2020/11/29 13:08:29
Clark County,2020-06-07,1,0,0,0,0,1,0,2020/11/29 13:08:29
Clark County,2020-06-14,1,0,0,0,1,0,0,2020/11/29 13:08:29
Clark County,2020-06-21,2,0,0,1,1,0,0,2020/11/29 13:08:29
Clark County,2020-06-28,3,0,1,1,0,1,0,2020/11/29 13:08:29
Clark County,2020-07-05,5,0,0,0,2,3,0,2020/11/29 13:08:29
Clark County,2020-07-12,3,0,0,0,2,1,0,2020/11/29 13:08:29
Clark County,2020-07-19,1,0,0,0,0,1,0,2020/11/29 13:08:29
Clark County,2020-07-26,5,0,0,0,4,1,0,2020/11/29 13:08:29
Clark County,2020-08-02,4,0,0,2,1,1,0,2020/11/29 13:08:29
Clark County,2020-08-09,3,0,0,0,1,2,0,2020/11/29 13:08:29
Clark County,2020-08-16,3,0,0,0,1,2,0,2020/11/29 13:08:29
Clark County,2020-08-23,5,0,0,1,2,2,0,2020/11/29 13:08:29
Clark County,2020-08-30,2,0,0,0,1,1,0,2020/11/29 13:08:29
Clark County,2020-09-06,4,0,0,0,0,4,0,2020/11/29 13:08:29
Clark County,2020-09-13,5,0,0,0,3,2,0,2020/11/29 13:08:29
Clark County,2020-09-20,4,0,0,0,1,3,0,2020/11/29 13:08:29
Clark County,2020-09-27,4,0,0,0,2,2,0,2020/11/29 13:08:29
Clark County,2020-10-04,2,0,0,0,1,1,0,2020/11/29 13:08:29
Clark County,2020-10-11,2,0,0,0,0,2,0,2020/11/29 13:08:29
Clark County,2020-10-18,5,0,0,0,2,3,0,2020/11/29 13:08:29
Clark County,2020-10-25,4,0,0,0,2,2,0,2020/11/29 13:08:29
Clark County,2020-11-01,8,0,0,1,5,2,0,2020/11/29 13:08:29
Clark County,2020-11-08,6,0,1,1,2,2,0,2020/11/29 13:08:29
Clark County,2020-11-15,2,0,0,0,0,2,0,2020/11/29 13:08:29
Columbia County,2020-07-26,1,0,0,0,1,0,0,2020/11/29 13:08:29
Columbia County,2020-11-01,1,0,0,1,0,0,0,2020/11/29 13:08:29
Cowlitz County,2020-06-21,2,0,0,0,0,2,0,2020/11/29 13:08:29
Cowlitz County,2020-07-05,3,0,0,1,2,0,0,2020/11/29 13:08:29
Cowlitz County,2020-07-26,1,0,0,0,1,0,0,2020/11/29 13:08:29
Cowlitz County,2020-09-06,1,0,0,0,0,1,0,2020/11/29 13:08:29
Cowlitz County,2020-10-25,1,0,0,0,0,1,0,2020/11/29 13:08:29
Douglas County,2020-03-08,1,0,0,0,0,1,0,2020/11/29 13:08:29
Douglas County,2020-04-19,1,0,0,0,1,0,0,2020/11/29 13:08:29
Douglas County,2020-04-26,1,0,0,0,1,0,0,2020/11/29 13:08:29
Douglas County,2020-05-31,1,0,0,1,0,0,0,2020/11/29 13:08:29
Douglas County,2020-07-05,1,0,0,0,1,0,0,2020/11/29 13:08:29
Douglas County,2020-07-12,1,0,0,0,1,0,0,2020/11/29 13:08:29
Douglas County,2020-07-19,3,0,0,1,1,1,0,2020/11/29 13:08:29
Douglas County,2020-07-26,1,0,0,0,0,1,0,2020/11/29 13:08:29
Douglas County,2020-10-25,1,0,0,0,0,1,0,2020/11/29 13:08:29
Ferry County,2020-10-04,1,0,0,0,1,0,0,2020/11/29 13:08:29
Franklin County,2020-03-22,3,0,0,0,3,0,0,2020/11/29 13:08:29
Franklin County,2020-03-29,2,0,0,1,0,1,0,2020/11/29 13:08:29
Franklin County,2020-04-05,2,0,0,1,1,0,0,2020/11/29 13:08:29
Franklin County,2020-04-12,5,0,0,0,1,4,0,2020/11/29 13:08:29
Franklin County,2020-04-19,6,0,0,1,3,2,0,2020/11/29 13:08:29
Franklin County,2020-04-26,3,0,0,0,2,1,0,2020/11/29 13:08:29
Franklin County,2020-05-03,4,0,0,1,2,1,0,2020/11/29 13:08:29
Franklin County,2020-05-10,2,0,0,0,1,1,0,2020/11/29 13:08:29
Franklin County,2020-05-17,1,0,0,0,1,0,0,2020/11/29 13:08:29
Franklin County,2020-05-24,1,0,0,0,1,0,0,2020/11/29 13:08:29
Franklin County,2020-05-31,3,0,0,0,3,0,0,2020/11/29 13:08:29
Franklin County,2020-06-07,5,0,0,1,4,0,0,2020/11/29 13:08:29
Franklin County,2020-06-21,3,0,0,1,1,1,0,2020/11/29 13:08:29
Franklin County,2020-06-28,6,0,0,0,3,3,0,2020/11/29 13:08:29
Franklin County,2020-07-05,4,0,0,1,3,0,0,2020/11/29 13:08:29
Franklin County,2020-07-12,4,0,1,0,2,1,0,2020/11/29 13:08:29
Franklin County,2020-07-19,2,0,0,0,1,1,0,2020/11/29 13:08:29
Franklin County,2020-07-26,2,0,0,0,1,1,0,2020/11/29 13:08:29
Franklin County,2020-08-09,1,0,0,1,0,0,0,2020/11/29 13:08:29
Franklin County,2020-08-16,1,0,0,0,1,0,0,2020/11/29 13:08:29
Franklin County,2020-08-23,5,0,0,0,2,3,0,2020/11/29 13:08:29
Franklin County,2020-09-06,1,0,0,0,0,1,0,2020/11/29 13:08:29
Franklin County,2020-09-13,2,0,0,1,1,0,0,2020/11/29 13:08:29
Franklin County,2020-09-20,1,0,0,0,1,0,0,2020/11/29 13:08:29
Franklin County,2020-10-25,1,0,0,0,1,0,0,2020/11/29 13:08:29
Franklin County,2020-11-01,1,0,0,1,0,0,0,2020/11/29 13:08:29
Franklin County,2020-11-15,1,1,0,0,0,0,0,2020/11/29 13:08:29
Grant County,2020-02-23,1,0,0,0,0,1,0,2020/11/29 13:08:29
Grant County,2020-03-15,1,0,0,0,1,0,0,2020/11/29 13:08:29
Grant County,2020-04-12,1,0,0,1,0,0,0,2020/11/29 13:08:29
Grant County,2020-04-26,1,0,0,1,0,0,0,2020/11/29 13:08:29
Grant County,2020-05-24,1,0,0,0,0,1,0,2020/11/29 13:08:29
Grant County,2020-06-07,1,0,0,0,1,0,0,2020/11/29 13:08:29
Grant County,2020-06-14,2,0,0,0,0,2,0,2020/11/29 13:08:29
Grant County,2020-06-21,1,0,0,1,0,0,0,2020/11/29 13:08:29
Grant County,2020-06-28,1,0,0,0,1,0,0,2020/11/29 13:08:29
Grant County,2020-07-05,1,0,0,0,1,0,0,2020/11/29 13:08:29
Grant County,2020-07-19,4,0,1,0,1,2,0,2020/11/29 13:08:29
Grant County,2020-08-02,3,0,1,1,0,1,0,2020/11/29 13:08:29
Grant County,2020-08-09,3,0,0,1,2,0,0,2020/11/29 13:08:29
Grant County,2020-08-16,3,0,0,0,2,1,0,2020/11/29 13:08:29
Grant County,2020-08-23,2,0,0,1,1,0,0,2020/11/29 13:08:29
