County,IncomePerCapita,MedianAge,PercentFemale,PercentNonWhite,PercentDiabetic,PercentUninsured,PopulationDensity,DeathsPerCapita
alachua,46690,32.1,51.8,30.1,9.3,11.6,307.47068638431125,0.00037912155306029147
baker,33254,37.2,47.4,17.3,14.5,11.5,49.912000410095175,0.0011297500855871278
bay,45690,41.8,50.4,17.8,12,15.0,230.34174511510165,0.0009101056065939727
bradford,34179,39.8,44.4,23.9,12.6,13.5,95.93482106409036,0.0006382752384667211
brevard,47911,47.7,51.1,16.8,13.1,13.4,592.6609298387256,0.0007492416212857717
broward,52308,40.8,51.3,36.9,9.1,16.8,1614.1462567883682,0.0008638974834825054
calhoun,29526,42.0,46.0,17.3,16.7,14.9,24.86207322017168,0.0015597305919886565
charlotte,42793,60.1,51.3,9.4,12.8,15.9,277.6944787440466,0.0010428246254830342
citrus,39055,57.1,51.5,7.1,13.3,15.3,257.2752277806429,0.0011760225047942963
clay,44042,40.0,50.7,19.7,12,12.4,362.7837712621616,0.0007023881196066627
collier,99382,52.1,50.7,10.7,9.1,22.6,192.61279474758797,0.0007404482179879554
columbia,35583,40.5,48.2,22.3,15,13.2,89.88051205536817,0.0013531233434701335
desoto,26128,41.2,43.7,15.8,14.3,24.6,59.65058236272879,0.0008947132970184995
dixie,28314,46.2,44.9,12.7,14.6,15.9,23.86497411531097,0.0006537501485795792
duval,47475,36.6,51.5,39.4,13,14.2,1256.5830042377884,0.0006619646986964307
escambia,44349,37.5,50.6,31.1,13,12.9,484.89778508972364,0.0009738750172784277
flagler,47558,52.6,51.9,16.1,12.6,15.2,237.05557615457505,0.00037364986400882855
franklin,37320,46.3,43.1,16.7,11.6,17.1,22.674994857217662,0.00032989690721649484
gadsden,35885,41.8,52.5,58.1,20.5,15.4,88.43181686130963,0.0012483574244415243
gilchrist,34756,42.5,48.4,8.8,15.1,16.1,53.14001372683596,0.0010763104079216446
glades,26102,47.7,44.2,21.2,21,25.9,17.135023138670736,0.0007240605314604301
gulf,46346,49.8,49.5,14.9,13.2,12.7,24.182195351146255,0.0014663831659212552
hamilton,27643,40.2,42.1,37.2,14.9,14.9,28.081511901749746,0.0007624064319378985
hardee,29545,36.1,47.2,11.7,16.4,19.0,42.235567123459504,0.0006682258603407952
hendry,33204,35.1,47.0,16.7,12.9,27.2,36.45369767946215,0.0010708676407596021
hernando,38223,48.7,51.8,10.4,15.2,15.7,410.3779574215939,0.0011551155115511551
highlands,34480,54.4,51.2,14.6,15.5,19.4,104.48446813952116,0.0014027358055375115
hillsborough,48452,37.6,51.1,25.9,10.6,14.7,1442.808833475461,0.0006433563773125502
holmes,31822,42.5,46.9,11.1,14.5,17.4,40.972889427294376,0.000764642911760208
indian river,80818,54.6,52.0,13.3,10.9,18.2,318.0205619742677,0.0008691682872382334
jackson,36014,42.4,46.1,30.4,16.1,14.8,50.57313458856346,0.0020467962252768562
jefferson,41989,48.4,47.5,36.3,14.3,14.0,23.818759404781808,0.000772146567457532
lafayette,27645,39.8,44.0,15.5,14.2,19.4,15.49842660238126,0.0023747328425552127
lake,43425,47.4,51.6,16.6,12.9,15.3,391.22530318207976,0.0007027713160346265
lee,52064,49.3,51.0,13.2,10.8,19.3,982.2398694726645,0.0007734463914702878
leon,46394,31.5,52.7,38.5,8.2,11.7,440.25193071905227,0.0005007118965059165
levy,37680,47.7,51.1,13.0,16,18.1,37.11556863201009,0.00033732501264968796
liberty,25973,39.5,38.1,23.2,12.8,13.7,9.998085116568529,0.0016758439071103662
madison,33859,43.5,46.9,40.6,16.3,15.3,26.572311229254975,0.0014600118963932298
manatee,48618,49.3,51.7,14.0,11,17.1,542.7873420106874,0.0009497759471101269
marion,38293,48.9,52.1,17.9,15.4,17.6,230.71471395664386,0.001050388561706225
martin,85394,53.1,50.6,9.9,10.2,16.0,296.2499539984543,0.0011055900621118012
miami-dade,54902,40.4,51.4,21.0,7.7,19.5,1431.6864447863752,0.0014236604415261286
monroe,101262,48.4,48.2,11.0,7.2,19.6,75.49019607843138,0.0003772161448509996
nassau,61329,45.9,50.9,9.5,10.8,11.3,136.63203009373458,0.0006431593794076164
okaloosa,50681,37.2,49.3,18.9,11.5,13.2,226.53910239183014,0.0007592365876111569
okeechobee,31971,41.5,46.3,13.1,14.3,22.3,54.84126880909339,0.0010434452665528363
orange,46250,35.7,50.9,32.0,8.8,14.8,1542.4017356076288,0.00046790273364278066
osceola,35258,36.6,50.6,20.9,11.9,15.1,283.0622622320991,0.0006520275395141996
palm beach,83268,45.2,51.5,25.4,11.1,17.9,759.8742994070344,0.001141791992089633
pasco,42070,44.4,51.4,12.5,12.6,14.8,741.6714643387916,0.0005144896533422873
pinellas,55607,48.8,52.0,17.5,10,15.2,3560.978816654492,0.0009384653885759531
polk,36649,40.2,51.0,21.2,13.3,15.4,403.1376540737774,0.0009533966999504675
putnam,32949,45.6,50.5,19.7,17.8,18.1,102.41747065776092,0.0008051421746890138
st. johns,70498,44.1,51.3,11.4,8.2,10.8,440.6353011687144,0.0003740478781284004
st. lucie,41125,45.8,51.2,26.4,12.3,17.9,574.0160509153219,0.0011270282701334462
