County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Bedford City,Virginia,51515,No Data,No Data,No Data
Shannon County,South Dakota,46113,No Data,No Data,No Data
Wrangell-Petersburg Census Area,Alaska,2280,No Data,No Data,No Data
Wade Hampton Census Area,Alaska,2270,No Data,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,2232,No Data,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,2201,No Data,No Data,No Data
Teton County,Wyoming,56039,2.4,1.4,3.5
Gunnison County,Colorado,8051,3.1,1.6,5.1
San Miguel County,Colorado,8113,3.5,1.5,6.3
Pitkin County,Colorado,8097,3.9,2.2,6.2
Summit County,Colorado,8117,4,2.5,6.2
Eagle County,Colorado,8037,4.3,2.8,6.4
Kusilvak Census Area,Alaska,2158,4.6,1.5,8.3
Skagway Municipality,Alaska,2230,4.7,2.1,9.7
Garfield County,Colorado,8045,4.8,3.3,6.8
Summit County,Utah,49043,4.8,3.5,6.2
Denver County,Colorado,8031,5.1,4.5,5.8
Teton County,Idaho,16081,5.1,2.9,8
Gallatin County,Montana,30031,5.1,3.8,6.4
Frio County,Texas,48163,5.1,2,11.4
Arlington County,Virginia,51013,5.1,3.9,6.7
Alexandria City,Virginia,51510,5.1,3.6,7.1
Routt County,Colorado,8107,5.3,3.1,8.5
Alexander County,Illinois,17003,5.3,2.1,10.5
Riley County,Kansas,20161,5.3,4.3,6.5
La Plata County,Colorado,8067,5.4,3.8,7.3
Larimer County,Colorado,8069,5.4,4.5,6.3
Fillmore County,Minnesota,27045,5.4,3.1,8
Billings County,North Dakota,38007,5.4,2.4,10
North Slope Borough,Alaska,2185,5.5,2.8,9.4
Nevada County,California,6057,5.5,3.3,8.5
Boulder County,Colorado,8013,5.5,4.6,6.4
Douglas County,Colorado,8035,5.6,4.6,6.6
Park County,Colorado,8093,5.6,3.1,9.2
Morgan County,Missouri,29141,5.6,3,9
Harper County,Oklahoma,40059,5.6,2.5,9.7
Coryell County,Texas,48099,5.6,2.8,10.5
La Salle County,Texas,48283,5.6,2.7,11.5
Gilpin County,Colorado,8047,5.7,2.3,11.2
Benton County,Oregon,41003,5.7,4.2,7.6
Concho County,Texas,48095,5.7,3,9.9
Garza County,Texas,48169,5.7,2.2,11.8
Wasatch County,Utah,49051,5.7,4.5,7.1
Falls Church City,Virginia,51610,5.7,2.8,10.6
Archuleta County,Colorado,8007,5.8,3.6,9
Bleckley County,Georgia,13023,5.8,2.5,12
Karnes County,Texas,48255,5.8,2.9,10.9
Lubbock County,Texas,48303,5.8,3.7,8.5
Morgan County,Utah,49029,5.8,3.6,9
Dane County,Wisconsin,55025,5.8,4.4,7.1
Blaine County,Idaho,16013,5.9,3.7,8.5
Clark County,Idaho,16033,5.9,2.6,11.1
Hanson County,South Dakota,46061,5.9,2.7,11.9
Midland County,Texas,48329,5.9,3.4,9.1
Cache County,Utah,49005,5.9,4.8,7
Loudoun County,Virginia,51107,5.9,4.7,7.5
Juneau City and Borough,Alaska,2110,6,4.5,7.9
Hancock County,Iowa,19081,6,3.1,9.9
Pope County,Minnesota,27121,6,3.6,9.1
San Francisco County,California,6075,6.1,4.5,7.7
Santa Fe County,New Mexico,35049,6.1,5,7.2
Howard County,Texas,48227,6.1,2.3,12.2
Somervell County,Texas,48425,6.1,2.8,12
San Juan County,Washington,53055,6.1,4.3,8.4
Santa Cruz County,California,6087,6.2,4.3,8.7
Jefferson County,Colorado,8059,6.2,5.4,7
Nantucket County,Massachusetts,25019,6.2,3.1,11.3
Dallas County,Missouri,29059,6.2,2.6,11.7
Ralls County,Missouri,29173,6.2,3.4,10.5
Falls County,Texas,48145,6.2,1.8,14.5
Gaines County,Texas,48165,6.2,2.7,11.8
Martin County,Texas,48317,6.2,2.6,12.9
Utah County,Utah,49049,6.2,5.6,6.8
Clear Creek County,Colorado,8019,6.3,3,10.9
Valley County,Idaho,16085,6.3,3.6,10.2
Clay County,North Carolina,37043,6.3,3.6,10
Botetourt County,Virginia,51023,6.3,3.8,9.6
Ford County,Illinois,17053,6.4,3.1,12.3
Johnson County,Iowa,19103,6.4,5.1,7.8
Winneshiek County,Iowa,19191,6.4,4.1,9.1
Slope County,North Dakota,38087,6.4,3.2,11.6
Hyde County,South Dakota,46069,6.4,3.3,11.7
Loving County,Texas,48301,6.4,2.1,14.7
Bethel Census Area,Alaska,2050,6.5,4,9.7
Nome Census Area,Alaska,2180,6.5,3.6,10
Sitka City and Borough,Alaska,2220,6.5,3.5,11.3
Grand County,Colorado,8049,6.5,3.7,10.3
Rio Blanco County,Colorado,8103,6.5,3.3,12.3
Mills County,Iowa,19129,6.5,4,9.7
Missoula County,Montana,30063,6.5,5.2,8
Tompkins County,New York,36109,6.5,5.3,7.8
Dickens County,Texas,48125,6.5,3.1,12
Hartley County,Texas,48205,6.5,2.3,17.1
Upton County,Texas,48461,6.5,2.9,12.1
Fairfax County,Virginia,51059,6.5,5.5,7.5
Kittitas County,Washington,53037,6.5,4.6,8.7
Albany County,Wyoming,56001,6.5,5.1,8.4
El Paso County,Colorado,8041,6.6,5.8,7.3
Seward County,Kansas,20175,6.6,4.6,9.4
Crane County,Texas,48103,6.6,2.1,16.4
Terrell County,Texas,48443,6.6,3.2,17.5
Johnson County,Wyoming,56019,6.6,4.4,9.2
Kodiak Island Borough,Alaska,2150,6.7,4.2,9.8
Elbert County,Colorado,8039,6.7,4.5,9.5
Latah County,Idaho,16057,6.7,5.1,8.7
Dekalb County,Illinois,17037,6.7,4.3,10.1
Dallas County,Iowa,19049,6.7,5.1,8.7
Hennepin County,Minnesota,27053,6.7,6.3,7.2
Borden County,Texas,48033,6.7,3.4,11.9
Reagan County,Texas,48383,6.7,2.9,13.5
Sherman County,Texas,48421,6.7,2.8,17.6
Chittenden County,Vermont,50007,6.7,5.9,7.6
Alpine County,California,6003,6.8,2.8,14.9
Miller County,Missouri,29131,6.8,3.9,10.7
Los Alamos County,New Mexico,35028,6.8,4.6,10
New York County,New York,36061,6.8,6,7.5
La Crosse County,Wisconsin,55063,6.8,4.8,9
Broomfield County,Colorado,8014,6.9,4.9,9.4
Ouray County,Colorado,8091,6.9,3.7,12
Cass County,Illinois,17017,6.9,3.3,12.1
Clinton County,Illinois,17027,6.9,3.3,13.6
Hampshire County,Massachusetts,25015,6.9,5.3,8.6
Rice County,Minnesota,27131,6.9,5.4,8.6
Alameda County,California,6001,7,5.8,8.2
Placer County,California,6061,7,5.1,9.2
Sierra County,California,6091,7,3,16.1
Lincoln County,Colorado,8073,7,3.5,11.4
Treutlen County,Georgia,13283,7,2.8,13.4
Madison County,Idaho,16065,7,5,10
Douglas County,Kansas,20045,7,6,8
Middlesex County,Massachusetts,25017,7,6.3,7.6
Schoolcraft County,Michigan,26153,7,3.8,11.8
Arthur County,Nebraska,31005,7,2.7,14.1
Putnam County,New York,36079,7,5.6,8.6
Graham County,North Carolina,37075,7,3.4,12.2
Stark County,North Dakota,38089,7,5.6,8.8
Hemphill County,Texas,48211,7,2.6,17.5
Jack County,Texas,48237,7,3,16.4
Travis County,Texas,48453,7,6.1,7.8
Salt Lake County,Utah,49035,7,6.5,7.5
Fairbanks North Star Borough,Alaska,2090,7.1,6,8.5
Arapahoe County,Colorado,8005,7.1,6.3,8
Teller County,Colorado,8119,7.1,4.7,10.2
Republic County,Kansas,20157,7.1,4.6,10.3
Smith County,Kansas,20183,7.1,3.9,12.1
Grand Traverse County,Michigan,26055,7.1,5.4,9
Murray County,Minnesota,27101,7.1,4.8,10.4
Carter County,Missouri,29035,7.1,3.4,13.2
Beaverhead County,Montana,30001,7.1,4.4,12.1
Harrisonburg City,Virginia,51660,7.1,3.7,13
Haines Borough,Alaska,2100,7.2,3.7,12.4
Valdez-Cordova Census Area,Alaska,2261,7.2,4.5,11
Monroe County,Florida,12087,7.2,5.8,8.8
Stark County,Illinois,17175,7.2,3.5,13.4
Ellis County,Kansas,20051,7.2,5.4,9.2
Lincoln County,Kansas,20105,7.2,3.9,11.5
Boone County,Missouri,29019,7.2,5.3,9.4
Esmeralda County,Nevada,32009,7.2,3.5,14.5
Somerset County,New Jersey,34035,7.2,5.8,8.8
Bernalillo County,New Mexico,35001,7.2,6.4,8.2
Taos County,New Mexico,35055,7.2,5.3,9.5
Durham County,North Carolina,37063,7.2,5.3,9.3
Orange County,North Carolina,37135,7.2,4.4,10.6
Bailey County,Texas,48017,7.2,3.8,13.6
