County,IncomePerCapita,MedianAge,PercentFemale,PercentNonWhite,PercentDiabetic,PercentUninsured,PopulationDensity,DeathsPerCapita
Adams,43429,28.0,48.9,11.5,8.9,13.4,10.38088707415142,0.0006005104338687885
Asotin,48456,45.8,51.1,6.8,12.8,7.0,35.49456940318448,0.0005313966876273138
Benton,49354,36.1,49.9,10.0,9.3,8.9,120.20254296098518,0.0006898576251284309
Chelan,56253,40.0,49.9,6.8,8.2,11.2,26.4335582925017,0.0002849740932642487
Clallam,47856,51.5,50.6,12.9,14.2,9.7,44.48579958926096,3.879427396516274e-05
Clark,56401,38.7,50.6,13.9,10.3,7.0,776.2178060413355,0.00023553941598513848
Columbia,51660,50.7,51.2,8.9,12.3,7.1,4.587684054200293,0.0005018820577164366
Cowlitz,46503,41.0,50.5,8.9,13.2,7.9,97.0003420662556,7.233730887126672e-05
Douglas,41725,38.0,49.4,7.1,8.4,11.4,23.8717940261425,0.00025328697414170255
Ferry,37311,51.4,48.6,23.9,13.1,10.9,3.461845712522014,0.0001311131506490101
Franklin,39526,30.6,48.4,10.1,10.1,12.1,76.6577843612388,0.0007561277855957657
Garfield,54352,46.8,51.2,7.2,13.6,4.7,3.1307602470838196,0.0
Grant,41141,33.2,49.2,7.9,9.3,12.5,36.474206104847525,0.0003376546304728188
Grays Harbor,41928,44.5,48.9,12.9,13,9.4,39.46362570516764,0.00022648246093177549
Island,56977,43.8,50.2,14.8,8.6,6.6,408.4480690813145,0.0001409426715683396
Jefferson,55447,59.3,51.1,8.9,7.9,9.0,17.863835449354106,3.103565997330933e-05
King,94974,37.0,49.7,33.8,7.7,6.2,1064.85817061123,0.00038441358285000503
Kitsap,58874,39.1,48.9,17.5,8.9,5.9,687.3778295437281,0.00011050822733752528
Kittitas,43562,34.6,49.5,8.4,6.5,8.4,20.866071467437436,0.00047981641806613124
Klickitat,49458,47.1,49.4,7.2,11.5,11.1,11.983583692707247,0.00013377926421404682
Lewis,44569,42.8,49.9,8.0,11.8,8.9,33.58872981521558,0.00019824798344629337
Lincoln,47282,47.9,49.1,6.2,11.4,7.6,4.7344935489874445,0.0002742481031172868
Mason,43966,45.4,48.1,12.5,11.4,10.2,69.59204519397136,0.0001647495806374311
Okanogan,43295,42.8,49.5,18.8,9.9,14.4,8.018823154226098,0.0002603981724782804
Pacific,42603,54.7,50.3,10.0,14,10.7,24.093453134046705,0.00013350540696898224
Pend Oreille,44461,50.9,48.9,8.9,12.5,8.5,9.802927163765455,7.28650539201399e-05
Pierce,53572,36.4,50.1,25.7,10.4,6.8,542.0632401123682,0.000301664125174037
San Juan,81351,57.2,51.7,6.1,6.1,9.8,101.09245630174794,0.0
Skagit,54505,41.7,50.5,9.7,9.8,9.4,74.63320240295748,0.00020123060253086182
Skamania,47461,47.7,49.1,7.2,11.8,7.7,7.29790780827213,8.276090374906894e-05
Snohomish,58729,38.2,49.8,23.0,8.9,7.2,393.8556104385154,0.00033573252335834705
Spokane,48436,37.7,50.4,11.1,9.8,6.5,296.40603473202594,0.0004724578135340992
Stevens,40863,47.3,50.1,10.8,10.4,9.9,18.453286624666536,0.00015309581611005403
Thurston,52828,39.3,51.1,18.5,10.2,6.5,402.4267272425065,0.00015832805573147562
Wahkiakum,44522,54.9,50.1,8.8,14.8,8.1,17.04001822461842,0.0
Walla Walla,48444,38.0,49.1,8.6,12.1,8.7,47.83762292048845,0.00037853851217906515
Whatcom,50915,37.6,50.6,13.8,7.9,8.0,108.80979277218229,0.00023119168407874477
Whitman,42665,25.2,49.1,16.2,7.5,6.2,23.20607292887281,0.0004790036723614881
Yakima,45757,33.0,50.0,13.0,11.5,15.9,58.40503794757183,0.0011758937789239975
